"Botanical","Common","Type","Description"
"Wodyetia bifurcata","Foxtail Palm","Palms","One of the most frequently used palms across all designs. Self-cleaning, large tropical silhouette. Available in singles, doubles, and triples. Used as anchor trees and tall backdrop palms. Naturally taller than King Alexander palms. Often paired with Kentopsis palms in alternating rows to create varied height lines."
"Phoenix roebelenii","Pygmy Date Palm","Palms","Short, bushy understory palm reaching 10-12 feet. Kept natural and full rather than heavily trimmed. Triples preferred. Creates a soft, palmy, bushy privacy buffer. Only trimmed twice a year. Brought in at 25-gallon size when half-grown. Flanks centerpiece trees and adds intermediate height."
"Archontophoenix alexandrae","King Alexander Palm","Palms","Called 'the king of palms.' Self-cleaning with gorgeous V-shape in doubles. Beautiful long fronds. Petite compared to foxtails — used as intermediate trees. Perfect in front of windows. Comes in singles, doubles, triples, quads. Doubles are the favorite for flat surfaces and front entrances."
"Bismarckia nobilis","Bismarck Palm","Palms","Massive silver/blue centerpiece palm. Stunning and large. Used as a dramatic focal tree. Needs plenty of room — the fronds spread wide. Not to be crowded by other large plants. Silver tone becomes more pronounced with age."
"Veitchia montgomeryana","Montgomery Palm","Palms","Smooth-trunked tropical palm used as tall backdrop trees. Comes in doubles and triples. Gorgeous when mature. Paired with backing plants like lady palms. Used as inherited specimens that integrate well into new landscape designs."
"Phoenix sylvestris","Sylvester Palm (Silver Date Palm)","Palms","Big statement palm with diamond-patterned trunk. Offers tremendous visual punch — few single trees match its impact. Currently comes with a disease disclaimer requiring proper pest control treatment a couple times per year. Not being actively planted new due to disease concerns, but beloved when inherited in landscapes."
"Adonidia merrillii","Christmas Palm (Manila Palm)","Palms","Compact, neat, self-cleaning palm. Used for intermediate height in layered designs between pygmy dates and foxtails. Creates nice height variation when placed between larger palms."
"Cocos nucifera","Coconut Palm","Palms","Classic tropical icon. Used in pairs flanking beds or centerpiece palms. Provides enough shade coverage for understory plantings."
"Chamaerops humilis","European Fan Palm","Palms","Extremely slow-growing fan palm — takes 20 years to get real size. Completely different structure and look from feather palms. Ideal as a centerpiece in front of windows or blank walls. Trunks can be softened with base plantings. Fronds loved but trunks less so — solved by planting ground cover around the base."
"Livistona chinensis","Chinese Fan Palm","Palms","Beautiful fan fronds. Offers a botanical garden aesthetic. Nice, clean palms that reflect light beautifully. Found at botanical gardens and used to create that curated tropical look."
"Caryota mitis","Clustering Fishtail Palm","Palms","One of the designer's favorites. Dark green clustering palm excellent for privacy walls. Plant 6 feet off the house minimum. 30-gallon size recommended for immediate impact. Reaches 27-30 feet over time. Makes fantastic living walls when planted in rows. Not for pool enclosures due to spread. Creates lush, dense green backdrop."
"Caryota maxima (or C. obtusa)","King Kong Fishtail Palm","Palms","Larger variety of fishtail palm. Single-trunked species with bigger leaves than the clustering type. Creates dramatic impact when used as a specimen tree among regular fishtails."
"Hyophorbe verschaffeltii","Spindle Palm","Palms","Gives a soft, airy look. Used as triples at corners. Grows well once fertilized with palm-specific fertilizer. Nice understory palm with a delicate, graceful silhouette."
"Hyophorbe lagenicaulis","Bottle Palm","Palms","Unique swollen trunk that's iconic and distinctive. Used in triples as accent features alongside boulders and yucca. Provides partial shade for understory plants like farfugium. Slow-growing and eye-catching."
"Syagrus schizophylla","Aricuri Palm","Palms","Florida-friendly slow-growing palm maxing out at 15-16 feet. Very drought-tolerant and tough. Always remains an understory tree with a cascading umbrella canopy feel. Used for mounting bromeliads since it stays put for years."
"Dypsis cabadae","Cabada Palm","Palms","Clustering palm often confused with Areca palms. Does produce some droppings. Used for tropical backdrop and privacy screening. Good alternative to Areca palms."
"Kentiopsis oliviformis","Kentopsis Palm","Palms","A rare palm species that's hard to find. First palm planted in the designer's personal garden. Naturally taller than many palms. Used alternating with foxtails to create varied height lines. Ideal for creating that botanical garden feel. A conversation starter."
"Ravenala madagascariensis","Traveler's Palm","Palms","Not actually a palm — related to bananas and birds of paradise. Flat fan shape that's architecturally stunning. Gets very large, so needs space. Used as a dramatic backdrop. Takes a couple extra days of water establishment. Creates instant tropical drama."
"Roystonea regia","Royal Palm","Palms","Tall, majestic palms seen at botanical gardens lining pathways ('Palm Alley'). Creates that classic grand tropical entrance feel. One of the larger palm species."
"Coccothrinax crinita","Old Man Palm","Palms","Distinctive hairy/fibrous trunk that gives it its common name. A cool and unique specimen palm spotted at botanical gardens. Conversation piece in any garden."
"Beaucarnea recurvata","Ponytail Palm","Palms","Technically not a true palm. Has a distinctive bulbous base. Can be used as a small accent or grow larger. The chunky, fat base is a design feature."
"Carpoxylon macrospermum","Carpoxylon Palm","Palms","The designer's top favorite palm of all. Rare, slow-growing. Stunning compact, vertical crown that curls elegantly. Beautiful dark green trunk transitioning to a cane-roped base that opens into an elephant-foot shape at the bottom. Self-cleaning. Reaches 27-30 feet but takes many years. Handles temperatures above 32°F. A true focal point tree."
"Pinanga coronata","Ivory Cane Palm","Palms","Small rare palm, very vertical with multi-trunks. Named for its beautiful white canes. Leaves stack vertically and compactly on top of one another. Unlike Areca or Cat palms, this one stays vertical rather than widening out."
"Copernicia fallaensis","Copernicia Palm (Cuban Wax Palm)","Palms","Rare Cuban fan palm — a standout feature tree. Silver-toned fronds that grow more silver with age. Extremely slow-growing (about 1-1.5 feet per year). Compact, vertical crown with overlapping fronds. Heavier crown than trunk can support initially, so must be staked. A stunner at any size. Often mistaken for Bismarck. One palm that makes a complete impact on its own."
"Parajubaea torallyi (or P. cocoides)","Cold Hardy Coconut (Alfred Palm)","Palms","Super slow-growing palm that can eventually get very large — the specimen shown was 20 years old. Available from 15-gallon up to field-grown. A long-term investment palm. Worth the wait despite extremely slow growth."
"Rhapis excelsa","Lady Palm (Rhapis Palm)","Palms","Shade-tolerant clustering palm with distinctive fan-shaped leaves. Clumps at the base and spreads via pups. Keep under control by removing lower clumping every 3-4 months. Maintained in a bouquet style rather than letting it spread. Interesting leaf shape that's very different from feather palms. Six-foot height ideal for mid-garden accents."
"Sabal causiarum (or related Sabal sp.)","Savannah Palm","Palms","Mentioned in botanical garden context. A stately palm with large fan leaves."
"Alcantarea imperialis","Imperialis Bromeliad","Bromeliads","Large, dramatic bromeliad. Changes color based on light — more purple in full sun, more green in shade. Can handle full sun. Holds water in cups from above which needs to be sprayed out every couple weeks to prevent stagnation. Used as vertical accent features and statement pieces. Produces pups for propagation."
"Neoregelia johannis","Johannis Bromeliad","Bromeliads","Sun-tolerant bromeliad — handles direct sun and pavement bounce-back heat like a champ. Flamboyant green and yellow coloring with pink tips. Paired beautifully with darker bromeliads for contrast."
"Neoregelia 'Margarita'","Margaret / Margarita Bromeliad","Bromeliads","Dark, dark-toned Neoregelia variety. Very tough and sun-loving. Holds a pink coloring rather than orange flame. In the Neo family. Paired with Johannis for a light/dark contrast effect. Can be mounted on trees at an angle to prevent mosquito breeding."
"Aechmea blanchetiana (or Aechmea 'Silver Vase')","Silver Odora Bromeliad","Bromeliads","Large canopy bromeliad — 15-gallon plants available. Root ball can be cut down dramatically because bromeliads don't rely heavily on root systems. Epiphytic nature means minimal root ball is needed for planting."
"Neoregelia 'Fireball'","Fireball Bromeliad","Bromeliads","Red/fire-colored small bromeliad ideal for mounting on trees. Best mounted with fence staples rather than ribbon, which stretches and loosens. Favorite method is to mount at a slight angle for drainage."
"Neoregelia 'Lemon Lime'","Lemon Lime Bromeliad","Bromeliads","Bright lemon-lime colored bromeliad used for tree mounting. Provides vivid color contrast when mounted on palm trunks."
"Codiaeum variegatum 'Mammy'","Mammy Croton","Crotons","Compact dwarf croton with twisted, colorful leaves. Stays small and rounded — perfect for lower layers. Can remain the same size forever if desired. Best brought in at 7 or 10-gallon size for immediate impact with dwarf varieties. A go-to plant for adding pops of color."
"Codiaeum variegatum 'Petra'","Petra Croton","Crotons","Classic large croton with bold yellow, orange, and red foliage. Stunning color especially with some sun protection. Used as backdrop color pops alongside boulders and accent palms."
"Codiaeum variegatum 'Banana'","Banana Leaf Croton (Dwarf)","Crotons","Related to mammy crotons but with broader banana-like leaves. Dwarf variety grows super slow in tight areas. Offers nice pops of color from the road without getting in the way. Stays compact together."
"Codiaeum variegatum 'Iceton'","Iceton Croton","Crotons","Compact, dense croton. Available in 7-gallon for rounded shape. Chunks out only slightly and stays small. Easy to maintain at a low height. Grows slow — ideal where slow, predictable growth is needed."
"Codiaeum variegatum 'Pinocchio'","Pinocchio Croton","Crotons","Narrow-leafed croton with fall-like coloring (more oranges). During summer shows more reds and yellows. Grows to about 4 feet tall. Great for clustering near house walls."
"Codiaeum variegatum 'Magnificent'","Magnificent Croton","Crotons","Larger croton that thrives in filtered light/shade. Hard to find colorful plants for shade gardens — these deliver. Used in 7-gallon size to encompass the base of taller plantings."
"Codiaeum variegatum 'Gold Dust'","Gold Dust Croton","Crotons","Yellow-speckled compact croton. Used as underskirt planting beneath taller copper leaves and shrubs."
"Acalypha wilkesiana 'Blaze'","Blaze Copper Leaf","Copper Leaves (Acalypha)","Most frequently used copper leaf variety. Fire-touched coloring. Gets about 5 feet tall. Used extensively as mid-layer planting and front-of-border color. Pairs beautifully with darker plants. Wraps around corners and creates sweeps of warm color."
